City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,dt
227,saskylakh,71.9167,114.0833,-31.3,100,48,1.23,RU,1667766688
228,areia branca,-4.9561,-37.1369,25.11,78,93,7.18,BR,1667767056
229,maridi,4.9158,29.4742,19.6,92,100,1.36,SS,1667767056
230,hilo,19.7297,-155.09,26.45,88,100,2.68,US,1667766524
231,saint george,37.1041,-113.5841,18.57,29,0,1.54,US,1667766664
232,beidao,34.5686,105.8933,10.68,72,86,1.56,CN,1667766821
233,bocana de paiwas,12.7857,-85.1227,28.44,75,59,0.44,NI,1667767057
234,hervey bay,-25.2986,152.8535,21.76,56,5,6.46,AU,1667767057
235,bereda,43.2686,-7.5406,12.3,93,14,3.43,ES,1667766812
236,kodinsk,58.6881,99.1844,-2.27,96,100,2.15,RU,1667767057
237,gorontalo,0.5412,123.0595,23.94,93,100,1.24,ID,1667767058
238,san policarpo,12.1791,125.5072,27.42,80,94,2.41,PH,1667767058
239,araouane,18.9048,-3.5265,26.47,16,0,3.95,ML,1667766714
240,bonthe,7.5264,-12.505,26.12,80,27,1.08,SL,1667767059
241,hailun,47.45,126.9333,-2.3,61,16,1.53,CN,1667767059
242,shakawe,-18.3667,21.85,25.4,52,99,1.01,BW,1667766659
243,dillon,34.4166,-79.3712,28.26,50,100,3.89,US,1667767059
244,tandalti,13.0167,31.8667,29.16,19,3,5.54,SD,1667767060
245,san quintin,30.4833,-115.95,19.43,65,5,5.08,MX,1667767060
246,paamiut,61.994,-49.6678,-4.9,75,7,8.81,GL,1667767060
247,ligayan,4.6533,119.4706,27.92,77,100,2.4,PH,1667767061
248,georgetown,5.4112,100.3354,27.91,93,20,1.03,MY,1667766639
249,labuhan,-6.8844,112.2051,25.77,82,100,1.76,ID,1667766754
250,fortuna,40.5982,-124.1573,13.85,80,100,3.58,US,1667767062
251,los llanos de aridane,28.6585,-17.9182,19.51,85,75,3.09,ES,1667766800
252,college,64.8569,-147.8028,-12.66,84,75,0.0,US,1667767046
253,husavik,66.0449,-17.3389,3.67,86,100,3.44,IS,1667766692
254,teguise,29.0605,-13.564,20.12,78,20,4.63,ES,1667767063
255,riyadh,24.6877,46.7219,27.08,29,28,2.04,SA,1667766822
256,novouzensk,50.4592,48.1431,2.98,68,100,2.21,RU,1667767063
257,hovd,48.0056,91.6419,-0.6,66,100,2.06,MN,1667766766
258,artigas,-30.4,-56.4667,23.91,39,0,6.79,UY,1667766806
259,severo-kurilsk,50.6789,156.125,2.39,89,57,10.4,RU,1667766630
260,dikson,73.5069,80.5464,-13.39,93,100,3.61,RU,1667766638
261,conceicao do araguaia,-8.2578,-49.2647,25.08,86,100,1.37,BR,1667767064
262,tarogong,-7.1902,107.8874,20.12,97,96,0.73,ID,1667767064
263,yar-sale,66.8333,70.8333,-4.2,97,100,3.11,RU,1667766669
264,port lincoln,-34.7333,135.8667,18.07,71,5,5.08,AU,1667766739
265,la ronge,55.1001,-105.2842,-7.86,67,100,7.2,CA,1667766622
266,havoysund,70.9963,24.6622,2.13,65,100,10.27,NO,1667766721
267,ban nahin,18.2418,104.2122,17.78,87,66,1.66,LA,1667766785
268,malakal,9.5334,31.6605,25.14,61,16,2.13,SS,1667766678
269,yangjiang,21.85,111.9667,18.48,92,89,2.4,CN,1667767065
270,plettenberg bay,-34.0527,23.3716,17.95,90,75,2.56,ZA,1667767066
271,bara,10.3744,10.7288,25.31,25,100,2.79,NG,1667767066
272,provideniya,64.3833,-173.3,1.99,99,100,4.95,RU,1667766686
273,alta floresta,-9.8756,-56.0861,33.9,43,20,2.57,BR,1667767067
274,nha trang,12.25,109.1833,24.0,92,100,2.67,VN,1667767067
275,aleksandrov gay,50.147,48.5704,3.08,72,100,2.55,RU,1667767067
276,kaitangata,-46.2817,169.8464,13.86,52,1,3.16,NZ,1667766677
277,bay roberts,47.5999,-53.2648,9.52,95,100,0.89,CA,1667767068
278,okato,-39.2,173.8833,14.39,100,95,4.16,NZ,1667767068
279,sorland,67.667,12.6934,6.92,67,90,10.46,NO,1667766732
280,pingliang,35.5392,106.6861,6.02,57,31,0.53,CN,1667767069
281,manacapuru,-3.2997,-60.6206,30.04,61,100,1.77,BR,1667767069
282,veraval,20.9,70.3667,25.73,57,29,3.01,IN,1667767069
283,kathu,7.9178,98.3332,28.16,99,100,3.72,TH,1667767070
284,haines junction,60.7522,-137.5108,-11.03,52,5,2.06,CA,1667766649
285,vire,48.9167,-0.8333,11.66,92,56,6.46,FR,1667767070
286,maniwaki,46.3834,-75.966,16.21,44,100,5.66,CA,1667767070
287,pombas,17.1503,-25.0201,24.88,69,0,4.03,CV,1667767071
288,monroe,43.1501,-77.6831,23.58,71,75,4.63,US,1667766894
289,matagami,49.7502,-77.6328,10.06,76,100,2.57,CA,1667767071
290,natal,-5.795,-35.2094,26.12,73,40,5.14,BR,1667767072
291,klaksvik,62.2266,-6.589,8.51,86,100,10.61,FO,1667767072
292,srednekolymsk,67.45,153.6833,-25.28,99,66,3.38,RU,1667767073
293,hay river,60.8156,-115.7999,-12.01,79,75,8.23,CA,1667767073
294,asau,46.4333,26.4,11.51,93,100,1.84,RO,1667767073
295,sampit,-2.5333,112.95,22.94,97,100,1.9,ID,1667767074
296,roald,62.5833,6.1333,9.86,87,20,5.14,NO,1667766749
297,kanniyakumari,8.0833,77.5667,25.84,78,98,5.62,IN,1667767074
298,mikuni,36.2171,136.1519,5.95,61,91,2.3,JP,1667767075
299,lompoc,34.6391,-120.4579,24.45,80,100,3.09,US,1667766746
300,ozinki,51.1786,49.6769,0.3,88,88,2.73,RU,1667767075
301,kenai,60.5544,-151.2583,-7.14,81,0,1.54,US,1667767076
302,zhenjiang,32.2092,119.4342,11.56,88,0,2.42,CN,1667767076
303,aswan,24.0934,32.907,22.61,28,0,2.57,EG,1667767076
304,port pirie,-33.1833,138.0167,20.08,46,0,3.52,AU,1667767077
305,havre-saint-pierre,50.2334,-63.5986,7.2,100,100,5.14,CA,1667766812
306,camacha,33.0833,-16.3333,18.68,77,40,2.06,PT,1667766765
307,kalang,5.9197,121.3631,26.83,81,100,1.57,PH,1667767077
308,yakima,46.4665,-120.6678,6.96,78,100,1.54,US,1667767078
309,huarmey,-10.0681,-78.1522,20.53,72,15,4.85,PE,1667766763
310,te anau,-45.4167,167.7167,12.33,61,51,2.2,NZ,1667766635
311,comodoro rivadavia,-45.8667,-67.5,26.92,17,0,5.66,AR,1667767078
312,klichka,50.4457,117.996,-11.24,93,5,1.71,RU,1667767079
313,touros,-5.1989,-35.4608,26.07,74,85,5.19,BR,1667766689
314,tuni,17.35,82.55,21.39,84,8,1.75,IN,1667767079
315,akyab,20.15,92.9,23.59,86,0,3.26,MM,1667767079
316,lorengau,-2.0226,147.2712,27.6,77,98,1.5,PG,1667766819
317,nadvoitsy,63.8667,34.3167,2.54,98,100,5.48,RU,1667767080
318,namatanai,-3.6667,152.4333,27.48,79,97,1.87,PG,1667767080
319,inhambane,-23.865,35.3833,24.33,89,41,2.37,MZ,1667766682
320,lamar,33.6668,-95.5836,27.02,43,0,7.2,US,1667767081
321,burnie,-41.0667,145.9167,13.3,91,46,0.87,AU,1667766665
322,katherine,-14.4667,132.2667,26.18,69,7,3.09,AU,1667767081
323,luderitz,-26.6481,15.1594,18.26,74,93,2.73,NA,1667766703
324,saint-francois,46.4154,3.9054,11.69,71,0,2.06,FR,1667767082
325,tacuarembo,-31.7333,-55.9833,21.64,54,0,6.12,UY,1667767082
326,nador,35.174,-2.9287,18.14,72,0,0.0,MA,1667766705
327,iquitos,-3.7481,-73.2472,33.02,46,40,2.06,PE,1667767083
328,amberley,39.2048,-84.428,22.87,39,0,5.66,US,1667767083
329,bud,39.447,-86.1758,20.97,39,24,4.97,US,1667766731
330,mogadishu,2.0371,45.3438,25.52,83,42,5.45,SO,1667766896
331,mata,40.683,-7.4592,11.07,95,97,2.01,PT,1667767084
332,almaznyy,48.0448,40.045,-0.21,79,12,2.42,RU,1667767084
333,laguna,38.421,-121.4238,18.36,50,0,6.69,US,1667766769
334,grand-santi,4.25,-54.3833,24.67,95,98,0.13,GF,1667766702
335,makakilo city,21.3469,-158.0858,28.18,61,0,8.23,US,1667767085
336,gaoua,10.2992,-3.2508,28.61,38,78,1.43,BF,1667767085
337,fukue,32.6881,128.8419,15.98,57,2,4.0,JP,1667767086
338,santo antonio do ica,-3.1022,-67.9397,27.56,71,95,0.76,BR,1667767086
339,sept-iles,50.2001,-66.3821,8.29,97,75,3.6,CA,1667767054
340,fairview,40.8126,-73.999,23.59,76,100,4.12,US,1667767087
341,dunedin,-45.8742,170.5036,12.91,64,3,1.69,NZ,1667766367
342,tekirdag,40.978,27.5085,15.64,83,100,2.87,TR,1667766913
343,sisimiut,66.9395,-53.6735,-8.7,84,59,3.75,GL,1667767088
344,coihaique,-45.5752,-72.0662,15.34,49,100,3.61,CL,1667766790
345,sorong,-0.8833,131.25,25.65,86,93,2.19,ID,1667766796
346,nelson bay,-32.7167,152.15,18.33,95,13,4.47,AU,1667767089
347,roebourne,-20.7833,117.1333,19.54,63,33,6.21,AU,1667767043
348,egvekinot,66.3167,-179.1667,-7.94,99,59,0.68,RU,1667767089
349,san rafael,-34.6177,-68.3301,30.89,16,22,7.3,AR,1667767090
350,mahibadhoo,3.7833,72.9667,26.91,80,24,5.31,MV,1667767090
351,kananga,-5.8958,22.4178,19.73,96,54,0.87,CD,1667767090
352,awjilah,29.1081,21.2869,17.93,42,0,3.12,LY,1667767091
353,ust-tsilma,65.441,52.1498,-4.09,94,95,2.41,RU,1667767091
354,leningradskiy,69.3833,178.4167,-8.1,79,4,3.69,RU,1667766667
